InspectionDate,HouseNumber,StreetName,Apartment,Borough,ViolationID,CurrentStatus,NOVDescription,BuildingID,Class,RegistrationID,BoroID,LowHouseNumber,HighHouseNumber,StreetCode,Postcode,Story,Block,Lot,ApprovedDate,OriginalCertifyByDate,OriginalCorrectByDate,NewCertifyByDate,NewCorrectByDate,CertifiedDate,OrderNumber,NOVID,NOVIssuedDate,CurrentStatusID,CurrentStatusDate,NovType,ViolationStatus,Latitude,Longitude,CommunityBoard,CouncilDistrict,CensusTract,BIN,BBL,NTA
06/03/2002,2159,BEVERLY ROAD,1,BROOKLYN,4229879,NOV SENT OUT,"SECTION 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF MOLD AT NORTH WALL IN THE 3rd ROOM FROM NORTH LOCATED AT APT 1, 1st STORY",209790,C,357940,3,2159,2159,19630,11226,1,5132,38,06/07/2002,12/27/2020,12/22/2020,,,,510,7036458,12/16/2020,2,12/16/2020,Reissued,Open,40.644621,-73.957357,14,40,792,3117851,3051320038,Erasmus
06/03/2019,946,BRONX PARK SOUTH,5E,BRONX,14072787,NOT COMPLIED WITH,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 18 SQ FT WINDOW FRAME FROM NORTH AT EAST WALL, WINDOW FRAME FROM NORTH AT EAST WALL IN THE 1st ROOM FROM NORTH LOCATED AT APT 5E, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ''950'' ORIGINAL VIOLATION 13103038 ISSUED 03-JUN-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",806324,C,202318,2,944,950,15320,10460,5,3129,21,03/13/2021,04/15/2021,04/10/2021,,,04/21/2021,550,7119510,03/15/2021,21,09/15/2021,Original,Open,40.845641,-73.879678,6,15,363,2013241,2031290021,East Tremont
02/22/2019,40-71,ELBERTSON STREET,D5,QUEENS,12925674,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT SOUTH WALL IN THE 4th ROOM FROM NORTH AT EAST LOCATED AT APT D5, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH",651901,C,402811,4,40-71,40-71,43290,11373,4,1511,32,02/25/2019,03/24/2019,03/19/2019,,,05/06/2021,550,6404941,02/26/2019,22,07/27/2021,Original,Open,40.747243,-73.877979,4,21,271,4037322,4015110032,Elmhurst
01/06/2021,1921,AVENUE I,4A,BROOKLYN,14094534,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT WEST AND SOUTH WALL APPROX..10 SQ.FT IN THE 3rd ROOM FROM EAST AT SOUTH LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13979245 ISSUED 06-JAN-21 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",188177,C,304637,3,1915,1929,14030,11230,4,6703,1,03/27/2021,04/29/2021,04/24/2021,,,,550,7133512,03/29/2021,47,03/29/2021,Original,Open,40.628024,-73.957699,14,45,764,3179440,3067030001,Flatbush
10/26/2015,1365,ST JOHNS PLACE,2C,BROOKLYN,10979321,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT WALLS AND CEILINGS IN THE BATHROOM LOCATED AT APT 2C, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",373696,C,318669,3,1365,1365,80330,11213,3,1378,79,10/27/2015,11/10/2015,11/05/2015,,,,550,5295360,10/28/2015,22,12/26/2020,Original,Open,40.670696,-73.932881,8,36,351,3036844,3013780079,Crown Heights North
09/03/2020,1417,PROSPECT AVENUE,2B,BRONX,13917207,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT SOUTH WALL 15 SQ.FT. IN THE BATHROOM LOCATED AT APT 2B, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST ORIGINAL VIOLATION 13800120 ISSUED 03-SEP-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",104343,C,208867,2,1417,1417,59520,10459,2,2962,40,11/30/2020,12/31/2020,12/26/2020,,,,550,7018947,11/30/2020,19,02/20/2021,Original,Close,40.832562,-73.896581,3,16,151,2010200,2029620040,Morrisania-Melrose
03/22/2018,31,WEST TREMONT AVENUE,3L,BRONX,12299979,VIOLATION CLOSED,"SECTION 27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... 30 SQ. FT AT CEILING, 5 SQ. FT AT EAST WALL, 5 SQ. FT. AT WEST WALL AND 5 SQ. FT. AT NORTH WALL IN THE BATHROOM LOCATED AT APT 3L, 3rd STORY, 3rd APARTMENT FROM EAST AT SOUTH",876647,C,224764,2,31,43,76850,10453,3,2869,171,03/23/2018,04/08/2018,04/03/2018,,,,550,6048371,03/26/2018,19,05/03/2021,Original,Close,40.851779,-73.911335,5,14,243,2114452,2028690171,University Heights-Morris Heights
03/05/2019,655,WEST 160 STREET,6B,MANHATTAN,13068307,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX. 12 SQ,FT AT NORTH WALL IN THE BATHROOM LOCATED AT APT 6B, 6th STORY, 1st APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 12943382 ISSUED 05-MAR-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",42882,C,115520,1,655,655,36970,10032,6,2136,98,05/14/2019,06/09/2019,06/04/2019,,,,550,6480817,05/14/2019,19,04/20/2021,Original,Close,40.836804,-73.945586,12,7,247,1063324,1021360098,Washington Heights South
03/06/2019,230,MC KINLEY AVENUE,2R,BROOKLYN,13077476,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... THE CEILING AND EAST AND SOUTH WALLS, TOTAL 20 SQ FT IN THE BATHROOM LOCATED AT APT 2R, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST ORIGINAL VIOLATION 12946068 ISSUED 06-MAR-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",335402,C,318035,3,230,230,59830,11208,2,4182,26,05/18/2019,06/15/2019,06/10/2019,,,,550,6486315,05/20/2019,19,01/11/2020,Original,Close,40.680438,-73.867408,5,37,1188,3094018,3041820026,Cypress Hills-City Line
03/05/2019,655,WEST 160 STREET,6C,MANHATTAN,13230715,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX. 14 SQ. FT IN THE 2nd ROOM FROM NORTH LOCATED AT APT 6C, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''WEST'' ORIGINAL VIOLATION 12943403 ISSUED 05-MAR-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",42882,C,115520,1,655,655,36970,10032,6,2136,98,08/16/2019,09/11/2019,09/06/2019,,,,550,6575217,08/16/2019,19,04/20/2021,Original,Close,40.836804,-73.945586,12,7,247,1063324,1021360098,Washington Heights South
03/05/2019,655,WEST 160 STREET,5E,MANHATTAN,13230714,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX. 11 SQ. FT IN THE 3rd ROOM FROM NORTH LOCATED AT APT 5E, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST ORIGINAL VIOLATION 12943372 ISSUED 05-MAR-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",42882,C,115520,1,655,655,36970,10032,5,2136,98,08/16/2019,09/11/2019,09/06/2019,,,,550,6575215,08/16/2019,22,12/17/2020,Original,Open,40.836804,-73.945586,12,7,247,1063324,1021360098,Washington Heights South
05/13/2019,1236,UNION STREET,2D,BROOKLYN,13245282,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 20 SQ FT NORTH WALL, SOUTH WALL IN THE BATHROOM LOCATED AT APT 2D, 2nd STORY, 2nd APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13071333 ISSUED 13-MAY-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",383101,C,315941,3,1236,1236,86530,11225,2,1276,13,08/24/2019,09/21/2019,09/16/2019,,,,550,6583883,08/26/2019,22,12/17/2020,Original,Open,40.668907,-73.949829,9,35,319,3033239,3012760013,Crown Heights South
11/01/2019,732,54 STREET,FL1,BROOKLYN,13409778,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APRROX 40 SQ FT AT ALL WALLS AND CEILING.. 10 SQ FT AT EAST WALL...10 SQ FT AT SOUTH WALL.... 10 SQ FT AT NORTH WALL...10 SQ FT AT CEILING IN THE BATHROOM LOCATED AT APT FL1, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",157471,C,821422,3,732,732,9280,11220,2,826,118,11/03/2019,11/30/2019,11/25/2019,,,,550,6697721,11/04/2019,19,07/14/2020,Original,Close,40.639587,-74.007235,7,38,106,3014852,3008260118,Sunset Park East
11/07/2019,612,EAST 180 STREET,B1STFL,BRONX,13439919,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT WEST AND NORTH WALLS IN THE 1st ROOM FROM NORTH LOCATED AT APT B1STFL, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",66245,C,207704,2,610,612,27060,10457,1,3069,78,11/08/2019,12/08/2019,12/03/2019,,,,550,6725633,11/12/2019,22,12/17/2020,Original,Open,40.849275,-73.891177,6,15,373,2012012,2030690078,East Tremont
11/25/2019,612,EAST 180 STREET,B1STFL,BRONX,13469811,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT WEST WALL APPROX 20 SQ FT, EAST WALL 10 SQ FT IN THE 1st ROOM FROM NORTH LOCATED AT APT B1STFL, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",66245,C,207704,2,610,612,27060,10457,1,3069,78,11/26/2019,12/23/2019,12/18/2019,,,,550,6744319,11/27/2019,22,12/17/2020,Original,Open,40.849275,-73.891177,6,15,373,2012012,2030690078,East Tremont
12/02/2019,443,EAST 96 STREET,3F,BROOKLYN,13478743,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPX 30 SQ FT NORTH WALL IN THE 3rd ROOM FROM EAST LOCATED AT APT 3F, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",284475,C,347550,3,443,443,38080,11212,3,4693,29,12/04/2019,12/31/2019,12/26/2019,,,,550,6752139,12/05/2019,19,03/30/2021,Original,Close,40.656813,-73.916680,17,42,890,3102693,3046930029,Rugby-Remsen Village
10/17/2019,1495,EAST 46 STREET,2G,BROOKLYN,13511098,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 10 SQ.FT AT CEILING IN THE 2nd ROOM FROM EAST LOCATED AT APT 2G UPPER LEVEL, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''REAR'' ORIGINAL VIOLATION 13344904 ISSUED 17-OCT-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",265110,C,374740,3,1495,1497,36880,11234,2,7826,20,12/20/2019,01/15/2020,01/10/2020,,,,550,6769230,12/20/2019,22,12/17/2020,Original,Open,40.624272,-73.931343,18,45,730,3217542,3078260020,Flatlands
10/23/2019,1495,EAST 46 STREET,2G,BROOKLYN,13553040,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROXIMATE 15 SQ FT IN THE 2nd ROOM FROM EAST LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST ORIGINAL VIOLATION 13352273 ISSUED 23-OCT-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",265110,C,374740,3,1495,1497,36880,11234,2,7826,20,01/16/2020,02/11/2020,02/06/2020,,,,550,6794612,01/16/2020,22,12/17/2020,Original,Open,40.624272,-73.931343,18,45,730,3217542,3078260020,Flatlands
10/22/2019,1236,UNION STREET,2B,BROOKLYN,13575749,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... NORTH WALL, EAST WALL AND CEILING APPROX 20 SQUARE FEET IN THE 1st ROOM FROM NORTH AT EAST LOCATED AT APT 2B, 2nd STORY, 2nd APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13353472 ISSUED 22-OCT-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",383101,C,315941,3,1236,1236,86530,11225,2,1276,13,01/31/2020,02/26/2020,02/21/2020,,,,550,6810671,01/31/2020,20,12/17/2020,Original,Open,40.668907,-73.949829,9,35,319,3033239,3012760013,Crown Heights South
01/31/2020,612,EAST 180 STREET,A,BRONX,13584538,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... 30 SQ FT ALL WALLS AND CEILING IN THE BATHROOM LOCATED AT BSMT-APT A, 1st BSMT-APT FROM NORTH AT EAST",66245,C,207704,2,610,612,27060,10457,Basement,3069,78,02/03/2020,03/01/2020,02/25/2020,,,,550,6813861,02/04/2020,19,01/26/2021,Original,Close,40.849275,-73.891177,6,15,373,2012012,2030690078,East Tremont
12/09/2019,479,VAN BUREN STREET,21,BROOKLYN,13619582,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 10 SQ FT SOUTH WALL IN THE KITCHEN LOCATED AT APT 21, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH ORIGINAL VIOLATION 13494423 ISSUED 09-DEC-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",385858,C,320312,3,477,479,87230,11221,4,1612,64,02/26/2020,03/23/2020,03/18/2020,,,,550,6838577,02/26/2020,47,02/26/2020,Original,Open,40.691661,-73.929394,3,36,387,3043671,3016120064,Stuyvesant Heights
12/17/2019,443,EAST 96 STREET,3F,BROOKLYN,13622064,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT NORTH WALL APPROX. 25 SQ.FT IN THE 3rd ROOM FROM EAST LOCATED AT APT 3F, 3rd STORY, APARTMENT AT WEST ORIGINAL VIOLATION 13507648 ISSUED 17-DEC-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",284475,C,347550,3,443,443,38080,11212,3,4693,29,02/27/2020,03/24/2020,03/19/2020,,,,550,6839878,02/27/2020,19,03/30/2021,Original,Close,40.656813,-73.916680,17,42,890,3102693,3046930029,Rugby-Remsen Village
12/17/2019,443,EAST 96 STREET,3F,BROOKLYN,13622065,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT WEST AND SOUTH WALLS APPROX. 10 SQ.FT IN THE FOYER LOCATED AT APT 3F, 3rd STORY, APARTMENT AT WEST ORIGINAL VIOLATION 13507657 ISSUED 17-DEC-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",284475,C,347550,3,443,443,38080,11212,3,4693,29,02/27/2020,03/24/2020,03/19/2020,,,,550,6839878,02/27/2020,19,03/30/2021,Original,Close,40.656813,-73.916680,17,42,890,3102693,3046930029,Rugby-Remsen Village
11/22/2019,306,HARMAN STREET,1R,BROOKLYN,13640939,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROX..4 SQ.FT AND 6 SQ.FT AT ALL WALLS IN THE BATHROOM LOCATED AT APT 1R, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13472717 ISSUED 22-NOV-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",308000,C,333498,3,306,306,47330,11237,1,3289,15,03/07/2020,04/04/2020,03/30/2020,,,,550,6850598,03/09/2020,22,12/17/2020,Original,Open,40.700122,-73.918645,4,37,431,3075100,3032890015,Bushwick North
11/27/2019,306,HARMAN STREET,1R,BROOKLYN,13640941,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROXIMATELY 20 SQ FT AT NORTH WALL AND WEST WALL. IN THE BATHROOM LOCATED AT APT 1R, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13474694 ISSUED 27-NOV-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",308000,C,333498,3,306,306,47330,11237,1,3289,15,03/07/2020,04/04/2020,03/30/2020,,,,550,6850598,03/09/2020,22,12/17/2020,Original,Open,40.700122,-73.918645,4,37,431,3075100,3032890015,Bushwick North
12/05/2019,306,HARMAN STREET,2R,BROOKLYN,13640942,FIRST NO ACCESS TO RE- INSPECT VIOLATION,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT THE CEILING AND WEST WALL OPROX. 10 SQ. FT. IN THE 1st BATHROOM FROM EAST AT NORTH LOCATED AT APT 2R, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13483591 ISSUED 05-DEC-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",308000,C,333498,3,306,306,47330,11237,2,3289,15,03/07/2020,04/04/2020,03/30/2020,,,,550,6850599,03/09/2020,22,12/17/2020,Original,Open,40.700122,-73.918645,4,37,431,3075100,3032890015,Bushwick North
01/03/2020,612,EAST 180 STREET,A,BRONX,13759432,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND WALLS APPROX 26 SQ.FT IN THE BATHROOM LOCATED AT APT A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13537801 ISSUED 03-JAN-20 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",66245,C,207704,2,610,612,27060,10457,1,3069,78,08/10/2020,09/10/2020,09/05/2020,,,,550,6925958,08/10/2020,19,01/26/2021,Original,Close,40.849275,-73.891177,6,15,373,2012012,2030690078,East Tremont
12/16/2020,124,FT GEORGE AVENUE,D,MANHATTAN,13892973,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... EAST WALL APPROX 30 SQ FT IN THE 2nd ROOM FROM NORTH AT EAST LOCATED AT APT D, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",21666,C,109315,1,124,124,20790,10040,1,2161,33,12/16/2020,01/17/2021,01/12/2021,,,,550,7036819,12/17/2020,47,12/17/2020,Original,Open,40.857094,-73.927523,12,10,277,1063870,1021610033,Washington Heights North
12/15/2020,128,LAKE STREET,BASEME,BROOKLYN,13946956,NOTICE OF ISSUANCE SENT TO TENANT,SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING APPROXIMATELY 80 SQ FT IN THE 1st ROOM FROM EAST LOCATED AT BSMT-APT BASEME,322706,C,0,3,128,128,54230,11223,Basement,7086,17,12/16/2020,01/17/2021,01/12/2021,,,,550,7037525,12/17/2020,47,12/17/2020,Original,Open,40.600899,-73.973532,11,47,410,3190397,3070860017,Bensonhurst East
12/15/2020,567,HART STREET,1R,BROOKLYN,13947049,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING AND WEST WALL, TOTAL 30 SQ FT IN THE 2nd ROOM FROM NORTH LOCATED AT APT 1R, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",308641,C,377554,3,567,567,47630,11221,1,3215,32,12/16/2020,01/17/2021,01/12/2021,,,,550,7037489,12/17/2020,47,12/17/2020,Original,Open,40.696947,-73.929237,4,34,393,3073089,3032150032,Bushwick South
10/15/2019,274,EAST 194 STREET,31,BRONX,13947104,VIOLATION DISMISSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APROX 20 SQ FT AT SOUTH WALL, CEILING, EAST WALL, NORTH WALL, WEST WALL IN THE BATHROOM LOCATED AT APT 31, 3rd STORY, 1st APARTMENT FROM NORTH AT EAST ORIGINAL VIOLATION 13339630 ISSUED 15-OCT-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE 27-2017.3a(5)(a) or (b).",66892,C,205800,2,274,274,27480,10458,3,3293,52,12/16/2020,01/16/2021,01/11/2021,,,01/15/2021,550,7035528,12/16/2020,9,03/29/2021,Original,Close,40.864820,-73.892453,7,15,39901,2016798,2032930052,Bedford Park-Fordham North
12/15/2020,2630,OCEAN AVENUE,A6,BROOKLYN,13947374,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING 15 SQ FT, SPACE NORTH WALL 8 SQ FT, EAST WALL 8 SQ FT, AND SOUTH WALL 4 SQ FT. IN THE BATHROOM LOCATED AT APT A6, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",347548,C,314505,3,2622,2632,67530,11229,1,7352,39,12/16/2020,01/17/2021,01/12/2021,,,,550,7037600,12/17/2020,47,12/17/2020,Original,Open,40.597617,-73.951085,15,48,578,3199767,3073520039,Madison
12/13/2020,273,FT WASHINGTON AVENUE,7A,MANHATTAN,13947661,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APROX 40 SQ FT. 30 SQ FT AT CEILING, 5 SQ FT AT EAST, 3 SQ FT AT WEST AND 2 SQ FT AT NORTH WALLS IN THE BATHROOM LOCATED AT APT 7A, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",21790,C,103373,1,273,277,21190,10032,6,2139,204,12/16/2020,01/17/2021,01/12/2021,,,,550,7036834,12/17/2020,19,02/28/2021,Original,Close,40.844393,-73.940928,12,10,255,1063422,1021390204,Washington Heights South
05/07/2019,1562,OCEAN AVENUE,6D,BROOKLYN,13056739,DEFECT LETTER ISSUED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 30 SQ FT NORTH WALL, EAST WALL, SOUTH WALL, CEILING IN THE BATHROOM LOCATED AT APT 6D, 6th STORY, 2nd APARTMENT FROM EAST AT SOUTH",347245,C,326549,3,1562,1562,67530,11230,6,6721,82,05/08/2019,06/04/2019,05/30/2019,,,,550,6476075,05/09/2019,20,05/25/2021,Original,Open,40.624161,-73.956105,14,45,762,3180187,3067210082,Midwood
12/16/2020,2316,WALLACE AVENUE,B23,BRONX,13948636,NOTICE OF ISSUANCE SENT TO TENANT,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT EAST WALL, SOUTH WALL, WEST WALL, NORTH WALL, CEILING IN THE BATHROOM LOCATED AT APT B23, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",118846,C,209273,2,2316,2336,72620,10467,3,4352,10,12/16/2020,01/17/2021,01/12/2021,,,,550,7037182,12/17/2020,47,12/17/2020,Original,Open,40.860053,-73.864610,11,13,328,2050093,2043520010,Bronxdale
07/19/2019,638,EAST 98 STREET,9G,BROOKLYN,13182732,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT EAST WALL, APPROXIMATELY 30 SQ. FEET IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT 9G, 9th STORY, 1st APARTMENT FROM EAST AT SOUTH",285052,C,374079,3,638,660,38130,11236,9,4757,1,07/24/2019,08/20/2019,08/15/2019,,,,550,6551510,07/25/2019,19,12/18/2020,Original,Close,40.653839,-73.910503,17,42,928,3105176,3047570001,Rugby-Remsen Village
07/18/2019,441,BEACH 51 STREET,7C,QUEENS,13301664,VIOLATION CLOSED,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT EAST WALL( APPRX. 10 SQ. FT.) IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT 7C, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13182259 ISSUED 18-JUL-19 HAS BEEN UPGRADED TO CLASS C PER ADMINISTRATIVE CODE ï¿½27-2017.3a(5)(a) or (b).",811245,C,432082,4,441,445,31350,11691,7,16001,2,09/26/2019,10/22/2019,10/17/2019,,,11/06/2019,550,6616908,09/26/2019,19,05/24/2021,Original,Close,40.596276,-73.781947,14,31,97203,4436437,4160010002,Hammels-Arverne-Edgemere
